/red/mavros/global_position/local/pose/pose/position/x_x,/red/mavros/global_position/local/pose/pose/position/x_y,/red/mavros/global_position/local/pose/pose/position/y_x,/red/mavros/global_position/local/pose/pose/position/y_y,/red/mavros/global_position/local/pose/pose/position/z_x,/red/mavros/global_position/local/pose/pose/position/z_y
0.088,-0.1726938934,0.1270000000,-0.133149391,0.1270000000,2.567
0.107,-0.1726938930,0.149,-0.133149391,0.149,2.566
0.1270000000,-0.1726938930,0.168,-0.133149391,0.168,2.565
0.149,-0.1726938930,0.187,-0.133149391,0.187,2.565
0.168,-0.1726938930,0.2080000000,-0.133149391,0.2080000000,2.565
0.187,-0.1726938930,0.228,-0.133149391,0.228,2.565
0.2080000000,-0.1726938930,0.248,-0.133149391,0.248,2.566
0.228,-0.1726938930,0.2680000000,-0.133149391,0.2680000000,2.567
0.248,-0.1726938930,0.2880000000,-0.133149391,0.2880000000,2.569
0.2680000000,-0.1726938930,0.308,-0.1220536088,0.308,2.57
0.2880000000,-0.1726938930,0.329,-0.1220536088,0.329,2.573
0.308,-0.1726938935,0.348,-0.1220536088,0.348,2.575
0.329,-0.1726938935,0.3680000000,-0.1220536088,0.3680000000,2.578
0.348,-0.1726938935,0.387,-0.1220536086,0.387,2.581
0.3680000000,-0.1726938935,0.4040000000,-0.1331493917,0.4040000000,2.584
0.387,-0.1726938939,0.428,-0.1331493917,0.428,2.588
0.4040000000,-0.1726938934,0.4470000000,-0.1220536089,0.4470000000,2.591
0.428,-0.1726938934,0.468,-0.1220536089,0.468,2.595
0.4470000000,-0.1726938943,0.488,-0.1220536089,0.488,2.599
0.468,-0.1726938943,0.508,-0.122053609,0.508,2.603
0.488,-0.1726938943,0.5280000000,-0.122053609,0.5280000000,2.606
0.508,-0.1726938946,0.5470000000,-0.1220536093,0.5470000000,2.61
0.5280000000,-0.1726938946,0.568,-0.1220536093,0.568,2.614
0.5470000000,-0.172693895,0.587,-0.1220536093,0.587,2.618
0.568,-0.172693895,0.607,-0.1220536097,0.607,2.621
0.587,-0.172693895,0.6270000000,-0.1220536097,0.6270000000,2.624
0.607,-0.172693895,0.648,-0.1220536097,0.648,2.628
0.6270000000,-0.172693895,0.667,-0.1220536100,0.667,2.63
0.648,-0.172693895,0.687,-0.1220536100,0.687,2.633
0.667,-0.1726938954,0.7080000000,-0.1220536100,0.7080000000,2.635
0.687,-0.1726938954,0.727,-0.1220536100,0.727,2.637
0.7080000000,-0.1726938954,0.747,-0.1220536100,0.747,2.639
0.727,-0.1726938954,0.7680000000,-0.1220536101,0.7680000000,2.64
0.747,-0.1726938954,0.7880000000,-0.1220536101,0.7880000000,2.641
0.7680000000,-0.1726938957,0.808,-0.1220536101,0.808,2.641
0.7880000000,-0.1726938957,0.827,-0.1220536101,0.827,2.642
0.808,-0.1726938957,0.847,-0.1220536101,0.847,2.641
0.827,-0.1726938957,0.8680000000,-0.1220536101,0.8680000000,2.641
0.847,-0.1726938957,0.887,-0.1220536101,0.887,2.64
0.8680000000,-0.1726938957,0.907,-0.1220536100,0.907,2.639
0.887,-0.1726938957,0.927,-0.1220536100,0.927,2.637
0.907,-0.1726938954,0.946,-0.1220536100,0.946,2.635
0.927,-0.1726938954,0.968,-0.1220536100,0.968,2.633
0.946,-0.1726938954,0.988,-0.1220536100,0.988,2.63
0.968,-0.1726938954,1.007,-0.1220536097,1.007,2.627
0.988,-0.1726938954,1.0270000000,-0.1220536097,1.0270000000,2.624
1.007,-0.172693895,1.0470000000,-0.1220536097,1.0470000000,2.621
1.0270000000,-0.172693895,1.0650000000,-0.1220536093,1.0650000000,2.617
1.0470000000,-0.172693895,1.088,-0.1220536093,1.088,2.614
1.0650000000,-0.172693895,1.1080000000,-0.1220536093,1.1080000000,2.61
1.088,-0.172693895,1.1270000000,-0.122053609,1.1270000000,2.606
1.1080000000,-0.172693895,1.147,-0.122053609,1.147,2.602
