/red/mavros/global_position/local/pose/pose/position/x_x,/red/mavros/global_position/local/pose/pose/position/x_y,/red/mavros/global_position/local/pose/pose/position/y_x,/red/mavros/global_position/local/pose/pose/position/y_y,/red/mavros/global_position/local/pose/pose/position/z_x,/red/mavros/global_position/local/pose/pose/position/z_y
584.3680000000,0.636240632,584.391,0.3772565443,584.391,2.033
584.391,0.636240632,584.4170000000,0.3772565443,584.4170000000,2.03
584.4170000000,0.636240632,584.4310000000,0.3772565440,584.4310000000,2.026
584.4310000000,0.6271514796,584.4600000000,0.3772565440,584.4600000000,2.022
584.4600000000,0.6271514796,584.4740000000,0.3772565435,584.4740000000,2.018
584.4740000000,0.6271514786,584.491,0.3772565435,584.491,2.013
584.491,0.6271514786,584.5110000000,0.3772565429,584.5110000000,2.009
584.5110000000,0.6271514777,584.5300000000,0.3772565429,584.5300000000,2.004
584.5300000000,0.6271514777,584.5510000000,0.3772565422,584.5510000000,1.999
584.5510000000,0.6271514764,584.57,0.3772565422,584.57,1.994
584.57,0.6271514764,584.5920000000,0.3772565414,584.5920000000,1.989
584.5920000000,0.6271514759,584.6100000000,0.3772565414,584.6100000000,1.984
584.6100000000,0.6271514759,584.6310000000,0.3772565411,584.6310000000,1.978
584.6310000000,0.6271514746,584.651,0.3772565411,584.651,1.973
584.651,0.6271514746,584.6710000000,0.3772565402,584.6710000000,1.969
584.6710000000,0.6271514736,584.6910000000,0.3661607594,584.6910000000,1.964
584.6910000000,0.627151473,584.713,0.3661607594,584.713,1.96
584.713,0.627151473,584.731,0.3661607587,584.731,1.955
584.731,0.6271514716,584.7510000000,0.3661607587,584.7510000000,1.951
584.7510000000,0.6271514716,584.7710000000,0.3661607589,584.7710000000,1.948
584.7710000000,0.6271514712,584.7910000000,0.3661607589,584.7910000000,1.944
584.7910000000,0.6271514712,584.8130000000,0.3772565393,584.8130000000,1.941
584.8130000000,0.6271514719,584.8330000000,0.3772565384,584.8330000000,1.938
584.8330000000,0.6271514704,584.8500000000,0.3772565384,584.8500000000,1.936
584.8500000000,0.6271514704,584.8690000000,0.3772565384,584.8690000000,1.934
584.8690000000,0.6271514704,584.8950000000,0.3772565384,584.8950000000,1.933
584.8950000000,0.6271514704,584.9130000000,0.3661607578,584.9130000000,1.931
584.9130000000,0.6271514699,584.9320000000,0.3661607578,584.9320000000,1.93
584.9320000000,0.6271514699,584.9510000000,0.3772565384,584.9510000000,1.93
584.9510000000,0.6271514704,584.9650000000,0.3772565384,584.9650000000,1.93
584.9650000000,0.6271514704,584.991,0.3772565384,584.991,1.93
584.991,0.6271514704,585.009,0.3772565384,585.009,1.93
585.009,0.6271514704,585.0320000000,0.3772565384,585.0320000000,1.931
585.0320000000,0.6271514704,585.0510000000,0.3772565384,585.0510000000,1.933
585.0510000000,0.6271514704,585.071,0.3772565384,585.071,1.934
585.071,0.6271514704,585.0910000000,0.3772565384,585.0910000000,1.936
585.0910000000,0.6271514704,585.1100000000,0.3772565384,585.1100000000,1.939
585.1100000000,0.6271514704,585.1310000000,0.3772565393,585.1310000000,1.942
585.1310000000,0.6271514719,585.1550000000,0.3772565393,585.1550000000,1.945
585.1550000000,0.6271514719,585.1700000000,0.3772565393,585.1700000000,1.948
585.1700000000,0.6271514719,585.1910000000,0.3772565396,585.1910000000,1.952
585.1910000000,0.6271514727,585.2110000000,0.3772565396,585.2110000000,1.956
585.2110000000,0.6271514727,585.23,0.3772565402,585.23,1.961
585.23,0.6271514736,585.2510000000,0.3772565402,585.2510000000,1.965
585.2510000000,0.6271514736,585.268,0.3772565402,585.268,1.969
585.268,0.6271514736,585.2910000000,0.3772565411,585.2910000000,1.974
585.2910000000,0.6271514746,585.311,0.3772565411,585.311,1.978
585.311,0.6271514746,585.329,0.3772565414,585.329,1.982
585.329,0.6271514759,585.3500000000,0.3772565414,585.3500000000,1.987
585.3500000000,0.6271514759,585.3720000000,0.3772565422,585.3720000000,1.991
585.3720000000,0.6271514764,585.3890000000,0.3772565422,585.3890000000,1.996
585.3890000000,0.6271514764,585.4110000000,0.3772565429,585.4110000000,2.
585.4110000000,0.6271514777,585.4300000000,0.3772565429,585.4300000000,2.004
585.4300000000,0.6271514777,585.4490000000,0.3772565429,585.4490000000,2.008
585.4490000000,0.6271514777,585.4670000000,0.3772565435,585.4670000000,2.011
585.4670000000,0.6271514786,585.49,0.3772565435,585.49,2.015
585.49,0.6271514786,585.5110000000,0.3772565435,585.5110000000,2.017
585.5110000000,0.6271514786,585.5310000000,0.3772565440,585.5310000000,2.02
585.5310000000,0.6271514796,585.5500000000,0.3772565440,585.5500000000,2.022
585.5500000000,0.6271514796,585.571,0.3772565440,585.571,2.024
585.571,0.6271514796,585.5920000000,0.3772565440,585.5920000000,2.025
585.5920000000,0.6271514796,585.6110000000,0.3772565440,585.6110000000,2.026
585.6110000000,0.6271514796,585.6310000000,0.3772565440,585.6310000000,2.027
585.6310000000,0.6271514796,585.651,0.3772565440,585.651,2.028
585.651,0.6271514796,585.6700000000,0.3772565440,585.6700000000,2.028
585.6700000000,0.6271514796,585.6890000000,0.3772565440,585.6890000000,2.027
585.6890000000,0.6271514796,585.7110000000,0.3772565440,585.7110000000,2.027
585.7110000000,0.6271514796,585.731,0.3772565440,585.731,2.026
585.731,0.6271514796,585.7520000000,0.3772565440,585.7520000000,2.024
585.7520000000,0.6271514796,585.784,0.3772565440,585.784,2.022
585.784,0.6271514796,585.8060000000,0.3772565440,585.8060000000,2.02
585.8060000000,0.6271514796,585.8250000000,0.3772565435,585.8250000000,2.018
585.8250000000,0.6271514786,585.838,0.3772565435,585.838,2.015
585.838,0.6271514786,585.857,0.3772565435,585.857,2.011
585.857,0.6271514786,585.8700000000,0.3772565429,585.8700000000,2.008
585.8700000000,0.6271514777,585.891,0.3772565429,585.891,2.004
585.891,0.6271514777,585.9110000000,0.3772565429,585.9110000000,2.
585.9110000000,0.6271514777,585.9310000000,0.3772565422,585.9310000000,1.996
585.9310000000,0.6271514764,585.9560000000,0.3772565422,585.9560000000,1.992
585.9560000000,0.6271514764,585.971,0.3772565414,585.971,1.988
585.971,0.6271514759,585.989,0.3772565414,585.989,1.983
585.989,0.6271514759,586.0120000000,0.3772565411,586.0120000000,1.979
586.0120000000,0.6271514746,586.0310000000,0.3772565411,586.0310000000,1.975
586.0310000000,0.6271514746,586.052,0.3772565411,586.052,1.97
586.052,0.6271514746,586.0680000000,0.3772565402,586.0680000000,1.966
586.0680000000,0.6271514736,586.0910000000,0.3772565402,586.0910000000,1.962
586.0910000000,0.6271514736,586.1110000000,0.3772565396,586.1110000000,1.959
586.1110000000,0.6271514727,586.1310000000,0.3772565396,586.1310000000,1.955
586.1310000000,0.6271514727,586.1550000000,0.3772565396,586.1550000000,1.952
586.1550000000,0.6271514727,586.1710000000,0.3772565393,586.1710000000,1.948
586.1710000000,0.6271514719,586.1920000000,0.3772565393,586.1920000000,1.946
586.1920000000,0.6271514719,586.2110000000,0.3772565393,586.2110000000,1.943
586.2110000000,0.6271514719,586.2330000000,0.3772565393,586.2330000000,1.941
586.2330000000,0.6271514719,586.259,0.3772565393,586.259,1.94
586.259,0.6271514719,586.2720000000,0.3772565384,586.2720000000,1.938
586.2720000000,0.6271514704,586.2920000000,0.3772565384,586.2920000000,1.937
586.2920000000,0.6271514704,586.312,0.3772565384,586.312,1.937
586.312,0.6271514704,586.3310000000,0.3772565384,586.3310000000,1.936
586.3310000000,0.6271514704,586.356,0.3772565384,586.356,1.936
586.356,0.6271514704,586.3720000000,0.3772565384,586.3720000000,1.937
586.3720000000,0.6271514704,586.391,0.3772565384,586.391,1.938
586.391,0.6271514704,586.4060000000,0.3772565384,586.4060000000,1.939
586.4060000000,0.6271514704,586.436,0.3772565393,586.436,1.94
586.436,0.6271514719,586.4560000000,0.3772565393,586.4560000000,1.942
586.4560000000,0.6271514719,586.472,0.3772565393,586.472,1.945
586.472,0.6271514719,586.491,0.3772565393,586.491,1.947
586.491,0.6271514719,586.5120000000,0.3772565396,586.5120000000,1.95
586.5120000000,0.6271514727,586.5310000000,0.3772565396,586.5310000000,1.954
586.5310000000,0.6271514727,586.5500000000,0.3772565396,586.5500000000,1.958
586.5500000000,0.6271514727,586.571,0.3772565402,586.571,1.962
586.571,0.6271514736,586.5910000000,0.3772565402,586.5910000000,1.967
586.5910000000,0.6271514736,586.6260000000,0.3772565411,586.6260000000,1.972
586.6260000000,0.6271514746,586.633,0.3772565411,586.633,1.977
586.633,0.6271514746,586.652,0.3772565414,586.652,1.983
586.652,0.6271514759,586.6710000000,0.3772565414,586.6710000000,1.989
586.6710000000,0.6271514759,586.6970000000,0.3772565422,586.6970000000,1.995
586.6970000000,0.6271514764,586.712,0.3661607619,586.712,2.001
586.712,0.6271514770,586.731,0.3661607619,586.731,2.008
586.731,0.6271514770,586.7510000000,0.3661607621,586.7510000000,2.015
586.7510000000,0.6362406291,586.7720000000,0.3661607626,586.7720000000,2.022
586.7720000000,0.6362406304,586.7910000000,0.3661607630,586.7910000000,2.03
586.7910000000,0.6362406309,586.812,0.3661607630,586.812,2.037
586.812,0.6362406309,586.8320000000,0.3661607634,586.8320000000,2.045
586.8320000000,0.6362406322,586.8520000000,0.3661607646,586.8520000000,2.052
586.8520000000,0.6362406332,586.864,0.3661607649,586.864,2.06
586.864,0.6362406340,586.892,0.3661607649,586.892,2.068
586.892,0.6362406340,586.9120000000,0.3661607651,586.9120000000,2.076
586.9120000000,0.6362406349,586.9320000000,0.3661607664,586.9320000000,2.084
586.9320000000,0.6362406363,586.9510000000,0.3661607668,586.9510000000,2.092
586.9510000000,0.6362406368,586.972,0.3550649854,586.972,2.099
586.972,0.6362406361,586.99,0.3550649865,586.99,2.107
586.99,0.6362406375,587.0100000000,0.3550649869,587.0100000000,2.115
587.0100000000,0.6362406379,587.0320000000,0.3550649873,587.0320000000,2.123
587.0320000000,0.6362406393,587.0500000000,0.355064988,587.0500000000,2.13
587.0500000000,0.6362406406,587.0720000000,0.355064988,587.0720000000,2.138
587.0720000000,0.6362406406,587.0920000000,0.3550649882,587.0920000000,2.145
587.0920000000,0.6362406410,587.1110000000,0.3550649889,587.1110000000,2.152
587.1110000000,0.6362406424,587.1350000000,0.3550649889,587.1350000000,2.159
587.1350000000,0.6362406424,587.152,0.3550649894,587.152,2.166
587.152,0.6362406433,587.1710000000,0.3439692082,587.1710000000,2.172
587.1710000000,0.6362406435,587.1920000000,0.3439692082,587.1920000000,2.178
587.1920000000,0.6362406435,587.214,0.3439692095,587.214,2.184
587.214,0.6362406445,587.2430000000,0.3439692093,587.2430000000,2.19
587.2430000000,0.6362406453,587.2520000000,0.3439692093,587.2520000000,2.195
587.2520000000,0.6362406453,587.2730000000,0.3439692102,587.2730000000,2.2
587.2730000000,0.6362406463,587.2970000000,0.3439692102,587.2970000000,2.205
587.2970000000,0.6362406463,587.3140000000,0.3439692103,587.3140000000,2.21
587.3140000000,0.6362406476,587.3330000000,0.3439692103,587.3330000000,2.215
587.3330000000,0.6362406476,587.356,0.3439692103,587.356,2.219
587.356,0.6362406476,587.3770000000,0.3439692111,587.3770000000,2.223
587.3770000000,0.6362406480,587.3900000000,0.3328734288,587.3900000000,2.226
587.3900000000,0.6362406487,587.3900000000,0.3328734289,587.3900000000,2.23
587.3900000000,0.6362406474,587.4300000000,0.3328734289,587.4300000000,2.233
